source_site,city,district,title,listing_url,date_collected,price,room_count,listing_id,neighborhood,net_m2,gross_m2,building_age,listing_update_date,floor,total_floors,heating_type,usage_status,furnished_status,bathroom_count
Emlakjet,istanbul,uskudar,"Deva Emlak İstanbul Üsküdar Ahmediye Mahallesi 1+1 Oda Kiralık Daire 25,000 TL #19446600",https://www.emlakjet.com/ilan/deva-dan-tunus-bagi-caddesinde-bahceli-11-bakimli-19446600,2026-06-07 23:07:53,25000,1+1,19446600,Ahmediye,60,70,21 Ve Üzeri,06 Haziran 2026,Bahçe Katı,5,Kombi Doğalgaz,,,1
Emlakjet,istanbul,uskudar,"Deva Emlak İstanbul Üsküdar Ahmediye Mahallesi 1+1 Oda Kiralık Daire 25,000 TL #19446599",https://www.emlakjet.com/ilan/deva-dan-tunus-bagi-caddesinde-bahceli-11-bakimli-19446599,2026-06-07 23:08:00,25000,1+1,19446599,Ahmediye,60,70,21 Ve Üzeri,06 Haziran 2026,Bahçe Katı,5,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,uskudar,"Alot Gayri̇menkul İstanbul Üsküdar Bulgurlu Mahallesi 3+1 Oda Kiralık Daire 70,000 TL #19445864",https://www.emlakjet.com/ilan/altinkoy-sitesi-klimali-ankastreli-kiralik-31-daire-19445864,2026-06-07 23:08:03,70000,3+1,19445864,Bulgurlu,88,105,0 (Yeni),05 Haziran 2026,3.Kat,6,Merkezi (Pay Ölçer),,,1
Emlakjet,istanbul,uskudar,"Alot Gayri̇menkul İstanbul Üsküdar Mehmet Akif Ersoy Mahallesi 2+1 Oda Kiralık Daire 27,000 TL #19445863",https://www.emlakjet.com/ilan/guzeltepe-21-yenilenmis-kiralik-daire-19445863,2026-06-07 23:08:05,27000,2+1,19445863,Mehmet Akif Ersoy,60,70,16-20,05 Haziran 2026,Düz Giriş (Zemin),3,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,uskudar,"Realist Gayrimenkul İstanbul Üsküdar Çengelköy Mahallesi 3+1 Oda Kiralık Daire 52,500 TL #19443197",https://www.emlakjet.com/ilan/uskudar-ata-2-sitesinde-c-kapisina-cok-yakin-ferah-31-daire-19443197,2026-06-07 23:08:09,52500,3+1,19443197,Çengelköy,102,117,21 Ve Üzeri,05 Haziran 2026,4.Kat,4,Merkezi Doğalgaz,,,2
Emlakjet,istanbul,uskudar,"As Emlak İstanbul Üsküdar Mimar Sinan Mahallesi 3+1 Oda Kiralık Daire 46,000 TL #19442547",https://www.emlakjet.com/ilan/as-emlaktan-31-nevcarsi-avm-nin-ust-kisminda-yuksek-giris-daire-19442547,2026-06-07 23:08:12,46000,3+1,19442547,Mimar Sinan,85,90,16-20,05 Haziran 2026,Yüksek Giriş,4,Kombi Doğalgaz,Boş Yapı Durumu İkinci El Yapı Tipi Betonarme,Boş Aidat 350 TL Depozito 90000 TL,1
Emlakjet,istanbul,uskudar,"Pera Grup Emlak İstanbul Üsküdar Valide i Atik Mahallesi 2+1 Oda Kiralık Daire 46,500 TL #19441330",https://www.emlakjet.com/ilan/peradan-valide-atik-mah-nev-carsiya-yakin-21-kiralik-daire-19441330,2026-06-07 23:08:15,46500,2+1,19441330,Valide i Atik,80,90,21 Ve Üzeri,04 Haziran 2026,3.Kat,5,Kombi Doğalgaz,Boş,Boş,1
Emlakjet,istanbul,uskudar,"Deluxe 26 Gayri̇menkul İstanbul Üsküdar Valide i Atik Mahallesi 2+1 Oda Kiralık Daire 47,000 TL #19439966",https://www.emlakjet.com/ilan/deluxe-26-dan-yeni-binada-otoparkli-kose-ferah-21-80-m2-daire-19439966,2026-06-07 23:08:20,47000,2+1,19439966,Valide i Atik,75,80,5-10,05 Haziran 2026,Yüksek Giriş,5,Kombi Doğalgaz,Kiracı Oturuyor,Boş,1
Emlakjet,istanbul,uskudar,"Emlak Pazarlama A.ş Epa Li̇on Gayri̇menkul İstanbul Üsküdar Cumhuriyet Mahallesi 1+1 Oda Kiralık Daire 38,500 TL #19439672",https://www.emlakjet.com/ilan/emaar-square-yani-yuksek-giris-11-kiralik-bos-daire-19439672,2026-06-07 23:08:23,38500,1+1,19439672,Cumhuriyet,40,55,11-15,04 Haziran 2026,Yüksek Giriş,4,Kombi Doğalgaz,,,1
Emlakjet,istanbul,uskudar,"Remax Pi̇rami̇t İstanbul Üsküdar Acıbadem Mahallesi 4+1 Oda Kiralık Daire 120,000 TL #19437653",https://www.emlakjet.com/ilan/acibadem-caddesi-tibas-park-sitesi-41-dubleks-19437653,2026-06-07 23:08:26,120000,4+1,19437653,Acıbadem,160,190,21 Ve Üzeri,04 Haziran 2026,3.Kat,3,Merkezi (Pay Ölçer),Boş,Boş,3
